Name,ID,Tecs Used by Group,Associated Groups
admin@338,G0018,"['T1087', 'T1059', 'T1203', 'T1083', 'T1036', 'T1069', 'T1566', 'T1082', 'T1016', 'T1049', 'T1007', 'T1204']",
APT-C-36,G0099,"['T1059', 'T1105', 'T1036', 'T1571', 'T1027', 'T1566', 'T1053', 'T1204']",Blind Eagle
APT1,G0006,"['T1087', 'T1583', 'T1560', 'T1119', 'T1059', 'T1584', 'T1005', 'T1114', 'T1585', 'T1036', 'T1135', 'T1588', 'T1003', 'T1566', 'T1057', 'T1021', 'T1016', 'T1049', 'T1007', 'T1550']","Comment Crew, Comment Group, Comment Panda"
APT12,G0005,"['T1568', 'T1203', 'T1566', 'T1204', 'T1102']","IXESHE, DynCalc, Numbered Panda, DNSCALC"
APT16,G0023,['T1584'],
APT17,G0025,"['T1583', 'T1585']",Deputy Dog
APT18,G0026,"['T1071', 'T1547', 'T1059', 'T1133', 'T1083', 'T1070', 'T1105', 'T1027', 'T1053', 'T1082', 'T1078']","TG-0416, Dynamite Panda, Threat Group-0416"
APT19,G0073,"['T1071', 'T1547', 'T1059', 'T1543', 'T1132', 'T1140', 'T1189', 'T1564', 'T1574', 'T1112', 'T1027', 'T1566', 'T1218', 'T1082', 'T1016', 'T1033', 'T1204']","Codoso, C0d0so0, Codoso Team, Sunshop Group"
APT28,G0007,"['T1134', 'T1583', 'T1071', 'T1560', 'T1119', 'T1037', 'T1110', 'T1059', 'T1092', 'T1213', 'T1005', 'T1025', 'T1001', 'T1074', 'T1140', 'T1114', 'T1573', 'T1546', 'T1190', 'T1203', 'T1211', 'T1068', 'T1210', 'T1083', 'T1564', 'T1070', 'T1105', 'T1056', 'T1559', 'T1498', 'T1040', 'T1027', 'T1137', 'T1003', 'T1120', 'T1566', 'T1542', 'T1057', 'T1090', 'T1091', 'T1014', 'T1113', 'T1218', 'T1528', 'T1221', 'T1199', 'T1550', 'T1204', 'T1078']","SNAKEMACKEREL, Swallowtail, Group 74, Sednit, Sofacy, Pawn Storm, Fancy Bear, STRONTIUM, Tsar Team, Threat Group-4127, TG-4127"
APT29,G0016,"['T1548', 'T1583', 'T1547', 'T1059', 'T1001', 'T1587', 'T1546', 'T1190', 'T1203', 'T1070', 'T1095', 'T1027', 'T1566', 'T1090', 'T1053', 'T1218', 'T1550', 'T1204', 'T1078', 'T1102', 'T1047']","YTTRIUM, The Dukes, Cozy Bear, CozyDuke"
