Name,ID,Description,Tecs Addressed by Mitigation
 Account Use Policies , M1036 ,"Configure features related to account use like login attempt lockouts, specific login times, etc.",['Brute Force']
 Active Directory Configuration , M1015 ,"Configure Active Directory to prevent use of certain techniques; use SID Filtering, etc.","['OS Credential Dumping', 'Software Deployment Tools', 'Steal or Forge Kerberos Tickets', 'Unsecured Credentials']"
 Antivirus/Antimalware , M1049 ,Use signatures or heuristics to detect malicious software.,"['Command and Scripting Interpreter', 'Obfuscated Files or Information', 'Phishing', 'Template Injection']"
 Application Developer Guidance , M1013 ,This mitigation describes any guidance or training given to developers of applications to avoid introducing security weaknesses that an adversary may be able to take advantage of.,"['Valid Accounts', 'Access Notifications', 'Access Sensitive Data in Device Logs', 'Screen Capture', 'URI Hijacking']"
 Application Isolation and Sandboxing , M1048 ,Restrict execution of code to a virtual environment on or in transit to an endpoint system.,"['Drive-by Compromise', 'Exploit Public-Facing Application', 'Exploitation for Client Execution', 'Exploitation for Credential Access', 'Exploitation for Defense Evasion', 'Exploitation for Privilege Escalation', 'Exploitation of Remote Services', 'Inter-Process Communication']"
 Audit , M1047 ,"Perform audits or scans of systems, permissions, insecure software, insecure configurations, etc. to identify potential weaknesses.","['Abuse Elevation Control Mechanism', 'Archive Collected Data', 'Browser Extensions', 'Create or Modify System Process', 'Data from Cloud Storage Object', 'Data from Information Repositories', 'Domain Trust Discovery', 'Email Collection', 'Group Policy Modification', 'Hijack Execution Flow', 'Implant Container Image', 'Modify Cloud Compute Infrastructure', 'Scheduled Task/Job', 'Server Software Component', 'Steal Application Access Token', 'Unsecured Credentials']"
 Behavior Prevention on Endpoint , M1040 ,"Use capabilities to prevent suspicious behavior patterns from occurring on endpoint systems. This could include suspicious process, file, API call, etc. behavior.","['Inter-Process Communication', 'Process Injection']"
 Boot Integrity , M1046 ,Use secure methods to boot a system and verify the integrity of the operating system and loading mechanisms.,"['Firmware Corruption', 'Modify System Image', 'Pre-OS Boot']"
 Code Signing , M1045 ,Enforce binary and application integrity with digital signature verification to prevent untrusted code from executing.,"['Command and Scripting Interpreter', 'Compromise Client Software Binary', 'Implant Container Image', 'Masquerading', 'Modify System Image', 'Server Software Component']"
 Credential Access Protection , M1043 ,Use capabilities to prevent successful credential access by adversaries; including blocking forms of credential dumping.,"['Modify System Image', 'Network Boundary Bridging', 'OS Credential Dumping']"
 Data Backup , M1053 ,Take and store data backups from end user systems and critical servers. Ensure backup and storage systems are hardened and kept separate from the corporate network to prevent compromise.,"['Data Destruction', 'Data Encrypted for Impact', 'Defacement', 'Disk Wipe', 'Inhibit System Recovery']"
 Disable or Remove Feature or Program , M1042 ,Remove or deny access to unnecessary and potentially vulnerable software to prevent abuse by adversaries.,"['Command and Scripting Interpreter', 'Communication Through Removable Media', 'Exfiltration Over Physical Medium', 'Exploitation of Remote Services', 'External Remote Services', 'Inter-Process Communication', 'Man-in-the-Middle', 'Network Service Scanning', 'Office Application Startup', 'Remote Service Session Hijacking', 'Replication Through Removable Media', 'Signed Binary Proxy Execution', 'Template Injection', 'Trusted Developer Utilities Proxy Execution']"
 Do Not Mitigate , M1055 ,This category is to associate techniques that mitigation might increase risk of compromise and therefore mitigation is not recommended.,['Execution Guardrails']
 Encrypt Sensitive Information , M1041 ,Protect sensitive information with strong encryption.,"['Automated Collection', 'Data from Cloud Storage Object', 'Data from Configuration Repository', 'Data Manipulation', 'Email Collection', 'Indicator Removal on Host', 'Man-in-the-Middle', 'Network Sniffing', 'OS Credential Dumping', 'Steal or Forge Kerberos Tickets', 'Unsecured Credentials']"
 Environment Variable Permissions , M1039 ,Prevent modification of environment variables by unauthorized users and groups.,[]
 Execution Prevention , M1038 ,"Block execution of code on a system through application control, and/or script blocking.","['Abuse Elevation Control Mechanism', 'Browser Extensions', 'Command and Scripting Interpreter', 'Hijack Execution Flow', 'Masquerading', 'Native API', 'Remote Access Software', 'Shared Modules', 'Signed Binary Proxy Execution', 'Signed Script Proxy Execution', 'Subvert Trust Controls', 'Taint Shared Content', 'Trusted Developer Utilities Proxy Execution', 'User Execution', 'XSL Script Processing']"
